"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"rkblhwq   ","P",01/01/2021 0:00,0,1,"",21.2,<0> ,48.52,<0> ,31.7,<0> ,97.9,<0> ,7.2,<0> ,1.67,<0> ,1.61,<3> ,"",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 0:15,0,1,"",21.2,<0> ,48.57,<0> ,31.8,<0> ,98.1,<0> ,7.2,<0> ,1.70,<0> ,1.64,<3> ,"",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 0:30,0,1,"",21.1,<0> ,48.70,<0> ,31.9,<0> ,97.7,<0> ,7.2,<0> ,1.71,<0> ,1.65,<3> ,"",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 0:45,0,1,"",21.1,<0> ,48.77,<0> ,31.9,<0> ,97.6,<0> ,7.2,<0> ,1.73,<0> ,1.67,<3> ,"",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 1:00,0,1,"",21.1,<0> ,48.80,<0> ,31.9,<0> ,97.4,<0> ,7.2,<0> ,1.75,<0> ,1.69,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 1:15,0,1,"",21.0,<0> ,48.79,<0> ,31.9,<0> ,97.3,<0> ,7.2,<0> ,1.77,<0> ,1.71,<3> ,"",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 1:30,0,1,"",21.0,<0> ,48.92,<0> ,32.0,<0> ,96.8,<0> ,7.2,<0> ,1.78,<0> ,1.72,<3> ,"",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 1:45,0,1,"",20.9,<0> ,49.06,<0> ,32.1,<0> ,97.1,<0> ,7.2,<0> ,1.79,<0> ,1.73,<3> ,"",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 2:00,0,1,"",20.9,<0> ,49.14,<0> ,32.2,<0> ,96.8,<0> ,7.2,<0> ,1.80,<0> ,1.74,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"rkblhwq   ","P",01/01/2021 2:15,0,1,"",20.9,<0> ,49.24,<0> ,32.2,<0> ,96.3,<0> ,7.1,<0> ,1.80,<0> ,1.74,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
